d1,d2,d3,l
66,138,192,0
67,146,198,0
65,187,174,0
67,172,109,0
67,181,160,0
67,177,163,0
67,175,161,0
68,175,108,0
70,168,106,0
66,153,180,0
67,172,109,0
66,139,191,0
66,141,196,0
67,171,165,0
66,176,151,0
65,123,190,0
67,182,168,0
67,185,176,0
67,176,174,0
68,164,105,0
68,175,152,0
67,175,160,0
68,181,168,0
68,175,80,0
67,180,78,0
67,173,84,0
66,146,197,0
67,197,164,0
65,192,172,0
69,166,113,0
66,186,168,0
66,138,190,0
66,139,192,0
69,166,115,0
68,172,113,0
66,138,189,0
67,180,167,0
67,179,164,0
66,146,199,0
68,168,164,0
66,134,185,0
69,173,147,0
66,166,160,0
69,175,109,0
67,139,197,0
66,142,197,0
66,143,193,0
67,118,207,0
67,141,196,0
69,174,113,0
66,140,197,0
69,163,117,0
67,175,166,0
67,172,168,0
66,138,201,0
70,166,118,0
70,167,112,0
67,146,210,0
69,175,163,0
67,172,167,0
69,172,113,0
72,185,121,0
69,180,126,0
70,176,121,0
69,180,155,0
66,140,191,0
67,190,159,0
67,180,167,0
69,177,103,0
67,170,169,0
67,177,171,0
67,175,164,0
66,140,184,0
68,178,110,0
69,175,108,0
69,181,110,0
68,168,111,0
66,138,191,0
66,136,191,0
69,183,104,0
69,180,103,0
67,175,164,0
67,175,164,0
67,172,155,0
67,163,161,0
71,165,114,0
66,134,187,0
68,178,145,0
68,179,179,0
67,145,195,0
68,183,82,0
66,148,194,0
67,119,203,0
66,144,190,0
66,136,186,0
66,144,183,0
67,123,191,0
66,147,179,0
66,139,180,0
65,125,179,0
66,143,193,0
66,143,193,0
65,137,182,0
66,145,195,0
66,125,187,0
66,140,189,0
66,144,182,0
66,146,183,0
66,150,179,0
66,134,185,0
65,134,188,0
66,136,206,0
66,141,205,0
65,134,186,0
65,132,183,0
66,146,191,0
66,145,199,0
66,141,190,0
66,136,191,0
65,139,184,0
66,122,195,0
66,141,194,0
66,135,193,0
66,138,190,0
66,144,199,0
66,141,191,0
66,138,188,0
66,148,180,0
66,135,196,0
66,142,178,0
66,140,189,0
66,144,185,0
66,138,189,0
66,140,179,0
64,123,190,0
66,143,195,0
65,130,180,0
66,138,195,0
65,128,195,0
65,132,180,0
65,138,191,0
66,137,195,0
66,140,199,0
66,140,191,0
66,146,191,0
66,140,190,0
66,142,190,0
66,138,186,0
66,140,186,0
66,138,189,0
67,140,167,0
66,146,169,0
68,149,168,0
66,139,189,0
66,143,192,0
67,170,78,0
66,135,195,0
68,171,82,0
66,142,198,0
66,141,185,0
67,145,207,0
67,147,206,0
67,138,203,0
66,133,196,0
66,146,197,0
66,143,186,0
66,144,182,0
66,145,199,0
66,138,190,0
66,141,186,0
66,144,181,0
66,145,180,0
66,140,197,0
66,135,195,0
66,145,179,0
66,143,192,0
66,136,186,0
66,152,181,0
66,146,192,0
66,142,198,0
68,176,184,0
66,140,188,0
70,156,119,0
67,148,179,0
66,174,151,0
69,190,186,0
69,162,123,0
70,191,174,0
66,140,188,0
69,160,116,0
66,142,183,0
66,143,186,0
67,140,198,0
66,171,154,0
66,164,165,0
65,136,186,0
69,163,115,0
67,165,159,0
68,169,118,0
68,169,122,0
69,169,118,0
69,181,158,0
70,180,125,0
66,135,194,0
66,143,191,0
66,169,164,0
67,172,156,0
69,175,184,0
66,142,189,0
67,172,160,0
68,154,159,0
69,164,120,0
69,156,119,0
69,169,118,0
70,185,131,0
72,173,132,0
67,173,169,0
69,158,118,0
68,168,155,0
65,132,180,0
66,150,195,0
67,165,167,0
68,190,168,0
66,134,186,0
66,161,162,0
110,44,255,1
114,36,238,1
106,16,234,1
116,18,233,1
109,51,169,1
107,50,170,1
103,31,242,1
110,38,241,1
113,17,237,1
113,18,232,1
114,49,187,1
112,34,252,1
103,9,217,1
98,15,224,1
113,20,232,1
106,16,234,1
111,11,226,1
112,41,163,1
110,37,158,1
103,8,217,1
110,49,189,1
111,17,229,1
107,29,233,1
96,6,215,1
109,45,188,1
111,22,232,1
110,19,236,1
103,11,217,1
101,40,135,1
112,70,208,1
104,41,136,1
96,6,214,1
96,7,214,1
111,36,255,1
111,22,239,1
114,40,240,1
101,19,120,1
111,21,247,1
107,44,164,1
103,10,237,1
106,12,227,1
113,73,205,1
108,19,229,1
110,39,244,1
110,39,244,1
103,9,229,1
110,59,183,1
113,20,234,1
90,26,121,1
103,8,218,1
106,16,234,1
101,41,132,1
111,9,226,1
111,16,233,1
109,39,242,1
112,54,180,1
111,14,221,1
108,19,229,1
103,9,218,1
113,18,231,1
107,44,168,1
90,11,216,1
103,9,228,1
103,16,225,1
103,10,225,1
90,9,223,1
111,19,240,1
108,43,254,1
114,52,186,1
96,7,209,1
109,42,255,1
110,45,255,1
106,16,235,1
110,41,249,1
106,16,234,1
103,9,218,1
110,19,245,1
103,10,213,1
110,52,181,1
109,9,221,1
103,9,219,1
110,19,238,1
110,65,183,1
112,40,237,1
111,34,255,1
96,6,219,1
96,6,215,1
96,6,218,1
96,6,214,1
112,39,255,1
110,19,240,1
113,29,243,1
90,7,215,1
98,13,221,1
112,57,185,1
110,48,181,1
108,46,165,1
109,35,242,1
110,33,233,1
110,49,190,1
96,6,216,1
101,28,255,1
110,44,254,1
103,9,222,1
105,37,240,1
109,38,124,1
110,57,186,1
109,54,168,1
113,17,229,1
103,11,218,1
103,9,220,1
109,43,174,1
108,18,239,1
110,41,255,1
108,19,240,1
103,13,217,1
90,11,217,1
113,17,226,1
110,57,187,1
90,7,218,1
106,17,225,1
103,9,223,1
112,45,177,1
111,17,229,1
110,40,246,1
103,9,219,1
110,57,185,1
112,57,186,1
111,20,248,1
112,48,255,1
103,9,218,1
103,9,219,1
111,11,227,1
90,5,255,1
113,18,232,1
113,17,227,1
103,11,214,1
110,43,255,1
103,9,219,1
111,21,242,1
110,42,255,1
108,19,244,1
109,42,255,1
96,6,213,1
101,9,221,1
108,18,236,1
111,67,205,1
111,20,232,1
112,65,208,1
113,81,239,1
115,75,238,1
113,16,233,1
106,12,238,1
110,60,176,1
113,50,242,1
103,11,214,1
101,7,215,1
103,8,217,1
114,41,242,1
103,9,220,1
103,8,217,1
103,9,218,1
106,14,219,1
113,68,216,1
114,71,225,1
112,68,223,1
112,69,223,1
103,9,220,1
108,19,236,1
110,41,255,1
111,19,237,1
103,7,221,1
103,8,219,1
111,53,173,1
103,10,226,1
114,77,221,1
103,9,234,1
103,10,225,1
107,20,230,1
114,79,232,1
110,20,232,1
112,62,187,1
116,17,224,1
110,43,241,1
112,17,223,1
111,19,244,1
113,56,254,1
111,14,229,1
112,17,228,1
110,46,255,1
111,14,223,1
112,52,255,1
96,6,217,1
110,46,255,1
111,22,236,1
103,11,218,1
110,63,191,1
96,6,215,1
111,13,229,1
108,20,227,1
113,20,231,1
96,6,218,1
113,18,232,1
103,33,255,1
110,45,255,1
111,22,235,1
114,41,174,1
114,74,213,1
110,35,236,1
101,9,221,1
107,37,255,1
108,42,253,1
96,6,207,1
